company_symbol,company_name,transaction_date,transaction_type,purchase_quantity,total_purchase_amount,sales_quantity,total_sales_amount
UAIL,United Ajod Insurance Limited,2025-08-03,sale,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-08-04,sale,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-04,sale,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-04,sale,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-05,sale,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-05,sale,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-08-06,sale,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-06,sale,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-08-07,purchase,0,0.0,0,0
KSBBL,Kamana Sewa Bikas Bank Limited,2025-08-07,purchase,0,0.0,0,0
MNBBL,Muktinath Bikas Bank Ltd.,2025-08-07,purchase,0,0.0,0,0
SHL,Soaltee Hotel Limited,2025-08-07,purchase,0,0.0,0,0
NLG,NLG Insurance Company Ltd.,2025-08-11,sale,0,0.0,0,0
SALICO,Sagarmatha Lumbini Insurance Co. Limited,2025-08-11,purchase,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-11,sale,0,0.0,0,0
NLG,NLG Insurance Company Ltd.,2025-08-12,sale,0,0.0,0,0
SALICO,Sagarmatha Lumbini Insurance Co. Limited,2025-08-13,purchase,0,0.0,0,0
AHPC,Arun Valley Hydropower Development Co. Ltd.,2025-08-17,opening,0,0.0,0,0
CBLD88,Civil Bank Debenture 2088,2025-08-17,opening,0,0.0,0,0
CCBD88,Century Debenture 2088,2025-08-17,opening,0,0.0,0,0
CHDC,CEDB Hydropower Development Company Limited,2025-08-17,opening,0,0.0,0,0
CLI,Citizen Life Insurance Company Limited,2025-08-17,opening,0,0.0,0,0
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,2025-08-17,opening,0,0.0,0,0
GWFD83,12 % Goodwill Finance Limited Debenture 2083,2025-08-17,opening,0,0.0,0,0
H8020,Himalayan 80-20,2025-08-17,opening,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-08-17,opening,0,0.0,0,0
HEI,Himalayan Everest Insurance Limited,2025-08-17,opening,0,0.0,0,0
HIDCL,Hydorelectricity Investment and Development Company Ltd,2025-08-17,opening,0,0.0,0,0
HLI,Himalayan Life Insurance Limited,2025-08-17,opening,0,0.0,0,0
HRL,Himalayan Reinsurance Limited,2025-08-17,opening,0,0.0,0,0
ICFC,ICFC Finance Limited,2025-08-17,opening,0,0.0,0,0
IGI,IGI Prudential insurance Limited,2025-08-17,opening,0,0.0,0,0
ILI,IME Life Insurance Company Limited,2025-08-17,opening,0,0.0,0,0
KEF,Kumari Equity Fund,2025-08-17,opening,0,0.0,0,0
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,2025-08-17,opening,0,0.0,0,0
KPCL,Kalika power Company Ltd,2025-08-17,opening,0,0.0,0,0
KSBBL,Kamana Sewa Bikas Bank Limited,2025-08-17,opening,0,0.0,0,0
LBBL,Lumbini Bikas Bank Ltd.,2025-08-17,opening,0,0.0,0,0
LICN,Life Insurance Corporation (Nepal) Limited,2025-08-17,opening,0,0.0,0,0
MANDU,Mandu Hydropower Limited,2025-08-17,opening,0,0.0,0,0
MFIL,Manjushree Finance Ltd.,2025-08-17,opening,0,0.0,0,0
MNBBL,Muktinath Bikas Bank Ltd.,2025-08-17,opening,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
NHDL,Nepal Hydro Developers Ltd.,2025-08-17,opening,0,0.0,0,0
NIBD84,8.5% Nepal Investment Bank Debenture 2084,2025-08-17,opening,0,0.0,0,0
NICFC,NIC Asia Flexi CAP Fund,2025-08-17,opening,0,0.0,0,0
NICL,Nepal Insurance Co. Ltd.,2025-08-17,opening,0,0.0,0,0
NMFBS,National Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
PBD88,10% Prime Debenture 2088,2025-08-17,opening,0,0.0,0,0
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,2025-08-17,opening,0,0.0,0,0
SALICO,Sagarmatha Lumbini Insurance Co. Limited,2025-08-17,opening,0,0.0,0,0
SBI,Nepal SBI Bank Limited,2025-08-17,opening,0,0.0,0,0
SBLD84,8.5% SBL Debenture 2084,2025-08-17,opening,0,0.0,0,0
SCB,Standard Chartered Bank Limited,2025-08-17,opening,0,0.0,0,0
SFMF,Sunrise First Mutual Fund,2025-08-17,opening,0,0.0,0,0
SGIC,Sanima GIC Insurance Limited,2025-08-17,opening,0,0.0,0,0
SHL,Soaltee Hotel Limited,2025-08-17,opening,0,0.0,0,0
SHL,Soaltee Hotel Limited,2025-08-17,opening,0,0.0,0,0
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
SHPC,Sanima Mai Hydropower Ltd.,2025-08-17,opening,0,0.0,0,0
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,2025-08-17,opening,0,0.0,0,0
SMHL,Super Madi Hydropower Limited,2025-08-17,opening,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-08-17,opening,0,0.0,0,0
SNLI,Sun Nepal Life Insurance Company Limited,2025-08-17,opening,0,0.0,0,0
SPIL,Siddhartha Premier Insurance Limited,2025-08-17,opening,0,0.0,0,0
SRLI,Sanima Reliance Life Insurance Limited,2025-08-17,opening,0,0.0,0,0
TAMOR,Sanima Middle Tamor Hydropower Limited,2025-08-17,opening,0,0.0,0,0
TRH,Taragaon Regency Hotel Limited,2025-08-17,opening,0,0.0,0,0
TVCL,Trishuli Jal Vidhyut Company Limited,2025-08-17,opening,0,0.0,0,0
UAIL,United Ajod Insurance Limited,2025-08-17,opening,0,0.0,0,0
UPCL,UNIVERSAL POWER COMPANY LTD,2025-08-17,opening,0,0.0,0,0
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2025-08-17,opening,0,0.0,0,0
VLUCL,Vision Lumbini Urja Company Limited,2025-08-17,opening,0,0.0,0,0
HRL,Himalayan Reinsurance Limited,2025-08-21,sale,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-08-26,purchase,0,0.0,0,0
HIDCL,Hydorelectricity Investment and Development Company Ltd,2025-08-26,purchase,0,0.0,0,0
HRL,Himalayan Reinsurance Limited,2025-08-26,purchase,0,0.0,0,0
MNBBL,Muktinath Bikas Bank Ltd.,2025-08-28,purchase,0,0.0,0,0
CHDC,CEDB Hydropower Development Company Limited,2025-08-31,purchase,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-08-31,purchase,0,0.0,0,0
SHL,Soaltee Hotel Limited,2025-08-31,purchase,0,0.0,0,0
IGI,IGI Prudential insurance Limited,2025-09-17,opening,0,0.0,0,0
KSBBL,Kamana Sewa Bikas Bank Limited,2025-09-17,opening,0,0.0,0,0
MNBBL,Muktinath Bikas Bank Ltd.,2025-09-17,opening,0,0.0,0,0
SGIC,Sanima GIC Insurance Limited,2025-09-17,opening,0,0.0,0,0
SRLI,Sanima Reliance Life Insurance Limited,2025-09-17,opening,0,0.0,0,0
